YYYY-MM-DD;D01;D02;D03;D04;D05;avg_pax_D01;avg_pax_D02;avg_pax_D03;avg_pax_D04;avg_pax_D05;avg_fare_D01;avg_fare_D02;avg_fare_D03;avg_fare_D04;avg_fare_D05;avg_stddev_D01;avg_stddev_D02;avg_stddev_D03;avg_stddev_D04;avg_stddev_D05
2021-12-01;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.367217;1.350271;1.354740;1.342031;1.344166;10.093257;9.881212;12.446086;12.397544;11.695738;6.363158;6.143361;9.233174;9.112778;9.856533
2021-12-02;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;1.381007;1.381107;1.402775;1.388002;1.519206;10.170915;10.162931;12.644350;12.508605;16.396616;6.048863;6.543967;9.200965;9.537157;14.082917
2021-12-03;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.390156;1.381710;1.432555;1.609687;1.439662;9.909985;9.470887;12.323890;15.407564;11.250474;6.180204;5.674668;9.423695;13.092245;8.176847
2021-12-04;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;Manhattan,East Village,Yellow Zone;1.457018;1.433560;1.536343;1.485781;1.512285;9.509136;9.781452;14.034703;10.777898;11.672074;6.636501;6.930695;11.418355;7.349466;7.517418
2021-12-05;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.462123;1.459971;1.504903;1.484715;1.491273;9.962265;9.588006;13.936585;11.044831;11.408500;7.182688;7.933452;12.805158;8.113435;8.857615
2021-12-06;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Midtown East,Yellow Zone;1.388613;1.378658;1.400257;1.520584;1.381098;9.700692;9.522279;12.113885;15.614371;12.021098;6.892959;6.395121;9.882779;14.097639;9.986752
2021-12-07;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.347121;1.358271;1.372686;1.310670;1.369748;10.029063;9.559132;12.107894;11.900713;11.429170;6.020296;5.828960;8.816295;8.743667;9.894073
2021-12-08;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.334993;1.343246;1.350193;1.327215;1.332319;10.089530;9.988407;12.842527;12.343468;11.713460;6.337977;6.206824;9.277036;8.998300;9.044132
2021-12-09;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Midtown East,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.374309;1.353884;1.397106;1.359463;1.333249;10.117910;10.184232;13.104818;12.513363;12.159681;6.131301;6.239674;9.664378;9.229311;9.213995
2021-12-10;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;1.381788;1.385902;1.441373;1.415124;1.408431;10.240212;10.259115;12.943274;12.572581;11.085053;6.546459;6.526834;9.990940;10.329824;7.936920
